date,storage,inflow,outflow,evaporation,elevation
1968-10-02,7.08,NA,19.822,NA,NA
1968-10-03,10.46,NA,28.204,NA,NA
1968-10-04,11.225,NA,30.299,NA,NA
1968-10-05,10.83,NA,30.016,NA,NA
1968-10-06,10.238,NA,38.511,NA,NA
1968-10-07,11.792,NA,35.962,NA,NA
1968-10-08,14.148,NA,40.776,NA,NA
1968-10-09,15.394,NA,47.289,NA,NA
1968-10-10,16.344,NA,52.386,NA,NA
1968-10-11,16.43,NA,46.44,NA,NA
1968-10-12,15.307,NA,42.758,NA,NA
1968-10-13,13.914,NA,39.644,NA,NA
1968-10-14,12.952,NA,37.095,NA,NA
1968-10-15,12.236,NA,35.679,NA,NA
1968-10-16,14.148,NA,41.343,NA,NA
1968-10-17,18.835,NA,50.404,NA,NA
1968-10-18,20.907,NA,53.519,NA,NA
1968-10-19,20.71,NA,52.952,NA,NA
1968-10-20,18.552,NA,49.271,NA,NA
1968-10-21,16.171,NA,44.741,NA,NA
1968-10-22,13.988,NA,40.493,NA,NA
1968-10-23,12.384,NA,36.529,NA,NA
1968-10-24,11.126,NA,35.962,NA,NA
1968-10-25,10.534,NA,32.564,NA,NA
1968-10-26,10.115,NA,30.299,NA,NA
1968-10-27,9.091,NA,28.232,NA,NA
1968-10-28,8.548,NA,26.731,NA,NA
1968-10-29,8.116,NA,25.598,NA,NA
1968-10-30,7.746,NA,24.466,NA,NA
1968-10-31,7.5,NA,23.871,NA,NA
1968-11-01,7.315,NA,22.823,NA,NA
1968-11-02,7.204,NA,21.946,NA,NA
1968-11-03,7.08,NA,21.946,NA,NA
1968-11-04,7.253,NA,23.361,NA,NA
1968-11-05,7.315,NA,22.653,NA,NA
1968-11-06,7.315,NA,29.733,NA,NA
1968-11-07,7.586,NA,31.148,NA,NA
1968-11-08,8.425,NA,28.317,NA,NA
1968-11-09,9.226,NA,28.317,NA,NA
1968-11-10,9.424,NA,31.148,NA,NA
1968-11-11,11.2,NA,33.98,NA,NA
1968-11-12,11.619,NA,33.98,NA,NA
1968-11-13,11.323,NA,33.98,NA,NA
1968-11-14,10.83,NA,33.98,NA,NA
1968-11-15,10.275,NA,35.113,NA,NA
1968-11-16,13.988,NA,48.705,NA,NA
1968-11-17,23.954,NA,66.544,NA,NA
1968-11-18,32.564,NA,69.093,NA,NA
1968-11-19,37.078,NA,70.226,NA,NA
