date,storage,inflow,outflow,evaporation,elevation
1980-05-01,0.437,NA,0,NA,1680.301
1980-05-02,0.491,NA,2.152,NA,1680.515
1980-05-03,0.669,NA,0,NA,1681.155
1980-05-04,0.74,NA,2.549,NA,1681.399
1980-05-05,0.768,NA,3.228,NA,1681.49
1980-05-06,0.731,NA,1.274,NA,1681.368
1980-05-07,0.952,NA,1.303,NA,1682.069
1980-05-08,1.284,NA,1.359,NA,1683.014
1980-05-09,1.689,NA,0.991,NA,1684.05
1980-05-10,2.228,NA,1.274,NA,1685.27
1980-05-11,2.478,NA,3.398,NA,1685.788
1980-05-12,2.633,NA,2.832,NA,1686.093
1980-05-13,2.86,NA,0.991,NA,1686.519
1980-05-14,3.081,NA,0.991,NA,1686.916
1980-05-15,3.239,NA,0.991,NA,1687.19
1980-05-16,3.403,NA,0.991,NA,1687.464
1980-05-17,3.649,NA,0.991,NA,1687.86
1980-05-18,3.905,NA,0.991,NA,1688.257
1980-05-19,4.131,NA,0.991,NA,1688.592
1980-05-20,4.321,NA,1.019,NA,1688.866
1980-05-21,4.582,NA,0.991,NA,1689.232
1980-05-22,5.035,NA,0.991,NA,1689.842
1980-05-23,5.462,NA,1.982,NA,1690.39
1980-05-24,5.731,NA,1.982,NA,1690.726
1980-05-25,6.605,NA,1.048,NA,1691.762
1980-05-26,7.011,NA,1.076,NA,1692.219
1980-05-27,7.543,NA,1.076,NA,1692.798
1980-05-28,8.035,NA,1.104,NA,1693.316
1980-05-29,8.542,NA,1.104,NA,1693.835
1980-05-30,9.002,NA,1.416,NA,1694.292
1980-05-31,9.441,NA,0.991,NA,1694.718
1980-06-01,9.925,NA,1.048,NA,1695.176
1980-06-02,10.422,NA,1.048,NA,1695.633
1980-06-03,10.863,NA,1.048,NA,1696.029
1980-06-04,11.313,NA,6.711,NA,1696.425
1980-06-05,11.739,NA,1.048,NA,1696.791
1980-06-06,12.135,NA,2.549,NA,1697.126
1980-06-07,12.651,NA,1.359,NA,1697.553
1980-06-08,12.987,NA,1.359,NA,1697.827
1980-06-09,13.445,NA,1.359,NA,1698.193
1980-06-10,13.87,NA,2.124,NA,1698.528
1980-06-11,14.265,NA,3.681,NA,1698.833
1980-06-12,14.583,NA,4.248,NA,1699.077
1980-06-13,14.765,NA,4.955,NA,1699.214
1980-06-14,14.947,NA,4.955,NA,1699.351
1980-06-15,15.11,NA,4.984,NA,1699.473
1980-06-16,15.274,NA,4.984,NA,1699.595
1980-06-17,15.48,NA,4.984,NA,1699.748
1980-06-18,15.531,NA,4.984,NA,1699.784
1980-06-19,15.605,NA,4.984,NA,1699.839
1980-06-20,15.605,NA,4.955,NA,1699.839
1980-06-21,15.647,NA,3.625,NA,1699.87
1980-06-22,15.647,NA,3.256,NA,1699.87
1980-06-23,15.647,NA,2.832,NA,1699.87
1980-06-24,15.647,NA,2.464,NA,1699.87
1980-06-25,15.647,NA,2.124,NA,1699.87
1980-06-26,15.647,NA,2.124,NA,1699.87
1980-06-27,15.647,NA,2.124,NA,1699.87
1980-06-28,15.605,NA,1.897,NA,1699.839
1980-06-29,15.564,NA,1.841,NA,1699.809
