date,storage,inflow,outflow,elevation,evaporation
1963-09-01,0,NA,NA,2684.953,NA
1963-09-02,0,NA,NA,2684.953,NA
1963-09-03,0.303,NA,NA,2684.965,NA
1963-09-04,0.713,NA,NA,2686.157,NA
1963-09-05,1.105,NA,NA,2687.056,NA
1963-09-06,1.5,NA,NA,2687.867,NA
1963-09-07,1.956,NA,NA,2688.696,NA
1963-09-08,2.413,NA,NA,2689.418,NA
1963-09-09,2.857,NA,NA,2690.034,NA
1963-09-10,3.293,NA,NA,2690.592,NA
1963-09-11,3.703,NA,NA,2691.201,NA
1963-09-12,4.095,NA,NA,2691.546,NA
1963-09-13,4.47,NA,NA,2691.957,NA
1963-09-14,4.82,NA,NA,2692.329,NA
1963-09-15,5.161,NA,NA,2692.667,NA
1963-09-16,5.487,NA,NA,2693.002,NA
1963-09-17,5.79,NA,NA,2693.31,NA
1963-09-18,6.086,NA,NA,2693.591,NA
1963-09-19,6.367,NA,NA,2693.862,NA
1963-09-20,6.693,NA,NA,2694.182,NA
1963-09-21,7.023,NA,NA,2694.499,NA
1963-09-22,7.337,NA,NA,2694.783,NA
1963-09-23,7.638,NA,NA,2695.032,NA
1963-09-24,7.926,NA,NA,2695.273,NA
1963-09-25,8.208,NA,NA,2695.502,NA
1963-09-26,8.486,NA,NA,2695.706,NA
1963-09-27,8.74,NA,NA,2695.889,NA
1963-09-28,8.995,NA,NA,2696.072,NA
1963-09-29,9.241,NA,NA,2696.243,NA
1963-09-30,9.478,NA,NA,2696.307,NA
1963-10-01,9.707,NA,NA,2696.459,NA
1963-10-02,9.93,NA,NA,2696.614,NA
1963-10-03,10.139,NA,NA,2696.748,NA
1963-10-04,10.346,NA,NA,2696.873,NA
1963-10-05,10.554,NA,NA,2697.011,NA
1963-10-06,10.757,NA,NA,2697.145,NA
1963-10-07,10.966,NA,NA,2697.285,NA
1963-10-08,11.168,NA,NA,2697.413,NA
1963-10-09,11.365,NA,NA,2697.529,NA
1963-10-10,11.555,NA,NA,2697.648,NA
1963-10-11,11.745,NA,NA,2697.773,NA
1963-10-12,11.933,NA,NA,2697.891,NA
1963-10-13,12.118,NA,NA,2698.004,NA
1963-10-14,12.3,NA,NA,2698.114,NA
1963-10-15,12.483,NA,NA,2698.224,NA
1963-10-16,12.663,NA,NA,2698.33,NA
1963-10-17,12.841,NA,NA,2698.434,NA
1963-10-18,13.021,NA,NA,2698.538,NA
1963-10-19,13.203,NA,NA,2698.632,NA
1963-10-20,13.388,NA,NA,2698.751,NA
1963-10-21,13.573,NA,NA,2698.861,NA
1963-10-22,13.751,NA,NA,2698.964,NA
1963-10-23,13.926,NA,NA,2699.05,NA
1963-10-24,14.104,NA,NA,2699.153,NA
1963-10-25,14.279,NA,NA,2699.251,NA
1963-10-26,14.454,NA,NA,2699.348,NA
1963-10-27,14.632,NA,NA,2699.443,NA
1963-10-28,14.802,NA,NA,2699.537,NA
1963-10-29,14.974,NA,NA,2699.629,NA
1963-10-30,15.145,NA,NA,2699.739,NA
1963-10-31,15.322,NA,NA,2699.833,NA
1963-11-01,15.49,NA,NA,2699.912,NA
1963-11-02,15.663,NA,NA,2700.007,NA
1963-11-03,15.83,NA,NA,2700.104,NA
1963-11-04,15.998,NA,NA,2700.199,NA
1963-11-05,16.168,NA,NA,2700.284,NA
1963-11-06,16.319,NA,NA,2700.369,NA
1963-11-07,16.479,NA,NA,2700.458,NA
1963-11-08,16.64,NA,NA,2700.555,NA
1963-11-09,16.798,NA,NA,2700.65,NA
1963-11-10,16.95,NA,NA,2700.732,NA
1963-11-11,17.103,NA,NA,2700.808,NA
1963-11-12,17.259,NA,NA,2700.894,NA
1963-11-13,17.417,NA,NA,2700.973,NA
1963-11-14,17.577,NA,NA,2701.052,NA
1963-11-15,17.74,NA,NA,2701.122,NA
1963-11-16,17.881,NA,NA,2701.214,NA
1963-11-17,18.038,NA,NA,2701.272,NA
1963-11-18,18.243,NA,NA,2701.348,NA
1963-11-19,18.465,NA,NA,2701.409,NA
1963-11-20,18.428,NA,NA,2701.397,NA
1963-11-21,18.413,NA,NA,2701.391,NA
1963-11-22,18.421,NA,NA,2701.394,NA
1963-11-23,18.443,NA,NA,2701.403,NA
1963-11-24,18.473,NA,NA,2701.415,NA
1963-11-25,18.45,NA,NA,2701.406,NA
1963-11-26,18.458,NA,NA,2701.409,NA
1963-11-27,18.45,NA,NA,2701.406,NA
1963-11-28,18.428,NA,NA,2701.4,NA
1963-11-29,18.421,NA,NA,2701.394,NA
1963-11-30,18.399,NA,NA,2701.384,NA
1963-12-01,18.391,1.727,NA,2701.381,NA
1963-12-02,18.384,1.586,NA,2701.378,NA
1963-12-03,18.391,1.586,NA,2701.381,NA
1963-12-04,18.406,1.614,NA,2701.388,NA
1963-12-05,18.421,1.614,NA,2701.394,NA
1963-12-06,18.421,1.444,NA,2701.394,NA
1963-12-07,18.421,1.444,NA,2701.394,NA
1963-12-08,18.436,1.614,NA,2701.4,NA
1963-12-09,18.436,1.444,NA,2701.4,NA
1963-12-10,18.436,1.444,NA,2701.4,NA
1963-12-11,18.436,1.444,NA,2701.4,NA
1963-12-12,18.436,1.444,NA,2701.4,NA
1963-12-13,18.465,1.784,NA,2701.412,NA
1963-12-14,18.473,1.529,NA,2701.415,NA
1963-12-15,18.495,1.699,NA,2701.421,NA
1963-12-16,18.51,1.699,NA,2701.427,NA
1963-12-17,18.473,1.303,NA,2701.412,NA
1963-12-18,18.487,1.841,NA,2701.418,NA
1963-12-19,18.473,1.501,NA,2701.412,NA
1963-12-20,18.465,1.642,NA,2701.409,NA
1963-12-21,18.443,1.472,NA,2701.4,NA
1963-12-22,18.428,1.472,NA,2701.394,NA
1963-12-23,18.443,1.614,NA,2701.4,NA
1963-12-24,18.45,1.472,NA,2701.403,NA
1963-12-25,18.473,1.642,NA,2701.412,NA
1963-12-26,18.473,1.472,NA,2701.412,NA
