date,storage,inflow,outflow,evaporation,elevation
1963-12-13,0.645,0.336,0.255,NA,2444.13
1963-12-14,0.654,0.359,0.255,NA,2444.173
1963-12-15,0.663,0.352,0.255,NA,2444.213
1963-12-16,0.672,0.332,0.227,NA,2444.255
1963-12-17,0.689,0.43,0.227,NA,2444.338
1963-12-18,0.702,0.379,0.227,NA,2444.398
1963-12-19,0.717,0.375,0.198,NA,2444.469
1963-12-20,0.725,0.227,0.142,NA,2444.502
1963-12-21,0.736,0.274,0.142,NA,2444.554
1963-12-22,0.748,0.275,0.142,NA,2444.606
1963-12-23,0.76,0.285,0.142,NA,2444.661
1963-12-24,0.772,0.278,0.142,NA,2444.712
1963-12-25,0.783,0.279,0.142,NA,2444.764
1963-12-26,0.795,0.28,0.142,NA,2444.816
1963-12-27,0.808,0.289,0.142,NA,2444.871
1963-12-28,0.82,0.282,0.142,NA,2444.923
1963-12-29,0.832,0.283,0.142,NA,2444.975
1963-12-30,0.845,0.292,0.142,NA,2445.029
1963-12-31,0.858,0.342,0.198,NA,2445.081
1964-01-01,0.866,0.292,0.198,NA,2445.115
1964-01-02,0.873,0.283,0.198,NA,2445.145
1964-01-03,0.878,0.202,0.142,NA,2445.167
1964-01-04,0.887,0.245,0.142,NA,2445.203
1964-01-05,0.895,0.237,0.142,NA,2445.237
1964-01-06,0.904,0.218,0.113,NA,2445.273
1964-01-07,0.918,0.279,0.113,NA,2445.331
1964-01-08,0.926,0.202,0.113,NA,2445.362
1964-01-09,0.934,0.211,0.113,NA,2445.395
1964-01-10,0.94,0.185,0.113,NA,2445.42
1964-01-11,0.947,0.194,0.113,NA,2445.447
1964-01-12,0.953,0.185,0.113,NA,2445.471
1964-01-13,0.96,0.195,0.113,NA,2445.499
1964-01-14,0.967,0.186,0.113,NA,2445.523
1964-01-15,0.97,0.15,0.113,NA,2445.535
1964-01-16,0.973,0.15,0.113,NA,2445.548
1964-01-17,0.978,0.14,0.085,NA,2445.566
1964-01-18,0.985,0.168,0.085,NA,2445.593
1964-01-19,0.991,0.159,0.085,NA,2445.618
1964-01-20,0.998,0.168,0.085,NA,2445.645
1964-01-21,1.011,0.233,0.085,NA,2445.694
1964-01-22,1.022,0.216,0.085,NA,2445.737
1964-01-23,1.032,0.207,0.085,NA,2445.776
1964-01-24,1.043,0.208,0.085,NA,2445.816
1964-01-25,1.054,0.209,0.085,NA,2445.855
1964-01-26,1.064,0.2,0.085,NA,2445.892
1964-01-27,1.074,0.21,0.085,NA,2445.932
1964-01-28,1.084,0.201,0.085,NA,2445.968
1964-01-29,1.093,0.183,0.085,NA,2445.999
1964-01-30,1.102,0.193,0.085,NA,2446.032
1964-01-31,1.11,0.183,0.085,NA,2446.063
1964-02-01,1.12,0.204,0.085,NA,2446.099
1964-02-02,1.13,0.194,0.085,NA,2446.133
1964-02-03,1.14,0.205,0.085,NA,2446.169
1964-02-04,1.143,0.116,0.085,NA,2446.178
1964-02-05,1.15,0.176,0.085,NA,2446.206
1964-02-06,1.161,0.206,0.085,NA,2446.243
1964-02-07,1.168,0.176,0.085,NA,2446.27
1964-02-08,1.175,0.157,0.085,NA,2446.291
1964-02-09,1.182,0.167,0.085,NA,2446.316
1964-02-10,1.188,0.157,0.085,NA,2446.337
1964-02-11,1.194,0.157,0.085,NA,2446.358
1964-02-12,1.202,0.178,0.085,NA,2446.386
1964-02-13,1.207,0.148,0.085,NA,2446.404
1964-02-14,1.214,0.168,0.085,NA,2446.428
1964-02-15,1.22,0.148,0.085,NA,2446.447
1964-02-16,1.226,0.159,0.085,NA,2446.468
1964-02-17,1.231,0.149,0.085,NA,2446.486
1964-02-18,1.238,0.159,0.085,NA,2446.508
1964-02-19,1.244,0.188,0.113,NA,2446.529
1964-02-20,1.248,0.185,0.142,NA,2446.541
1964-02-21,1.254,0.217,0.142,NA,2446.563
1964-02-22,1.255,0.154,0.142,NA,2446.566
1964-02-23,1.257,0.164,0.142,NA,2446.572
1964-02-24,1.258,0.154,0.142,NA,2446.575
1964-02-25,1.259,0.154,0.142,NA,2446.578
1964-02-26,1.261,0.175,0.142,NA,2446.587
1964-02-27,1.262,0.154,0.142,NA,2446.59
1964-02-28,1.265,0.175,0.142,NA,2446.599
1964-02-29,1.27,0.197,0.142,NA,2446.614
1964-03-01,1.266,0.101,0.142,NA,2446.602
1964-03-02,1.268,0.165,0.142,NA,2446.608
1964-03-03,1.274,0.218,0.142,NA,2446.63
1964-03-04,1.275,0.154,0.142,NA,2446.633
1964-03-05,1.276,0.154,0.142,NA,2446.636
1964-03-06,1.279,0.176,0.142,NA,2446.645
1964-03-07,1.28,0.155,0.142,NA,2446.648
1964-03-08,1.281,0.155,0.142,NA,2446.651
1964-03-09,1.282,0.155,0.142,NA,2446.654
1964-03-10,1.283,0.165,0.142,NA,2446.66
1964-03-11,1.283,0.133,0.142,NA,2446.657
1964-03-12,1.282,0.133,0.142,NA,2446.654
1964-03-13,1.284,0.205,0.17,NA,2446.663
1964-03-14,1.283,0.151,0.17,NA,2446.657
1964-03-15,1.282,0.162,0.17,NA,2446.654
1964-03-16,1.28,0.151,0.17,NA,2446.648
1964-03-17,1.278,0.151,0.17,NA,2446.642
1964-03-18,1.277,0.162,0.17,NA,2446.639
1964-03-19,1.278,0.183,0.17,NA,2446.642
1964-03-20,1.282,0.131,0.085,NA,2446.654
1964-03-21,1.289,0.174,0.085,NA,2446.678
1964-03-22,1.297,0.174,0.085,NA,2446.703
1964-03-23,1.308,0.219,0.085,NA,2446.739
1964-03-24,1.322,0.252,0.085,NA,2446.785
1964-03-25,1.332,0.198,0.085,NA,2446.816
1964-03-26,1.339,0.177,0.085,NA,2446.84
1964-03-27,1.355,0.266,0.085,NA,2446.889
1964-03-28,1.374,0.228,0,NA,2446.95
1964-03-29,1.389,0.174,0,NA,2446.995
1964-03-30,1.4,0.129,0,NA,2447.029
1964-03-31,1.424,0.28,0,NA,2447.102
1964-04-01,1.453,0.342,0,NA,2447.19
1964-04-02,1.488,0.407,0,NA,2447.294
1964-04-03,1.51,0.268,0,NA,2447.361
1964-04-04,1.542,0.369,0,NA,2447.453
1964-04-05,1.563,0.25,0,NA,2447.514
1964-04-06,1.577,0.165,0,NA,2447.553
1964-04-07,1.595,0.217,0,NA,2447.605
1964-04-08,1.611,0.209,0.028,NA,2447.648
1964-04-09,1.629,0.248,0.028,NA,2447.699
1964-04-10,1.652,0.301,0.028,NA,2447.763
1964-04-11,1.678,0.33,0.028,NA,2447.834
1964-04-12,1.712,0.424,0.028,NA,2447.925
1964-04-13,1.74,0.363,0.028,NA,2448.001
1964-04-14,1.779,0.475,0.028,NA,2448.102
1964-04-15,1.839,0.728,0.028,NA,2448.257
1964-04-16,1.93,1.096,0.028,NA,2448.489
1964-04-17,2.044,1.321,0,NA,2448.766
1964-04-18,2.121,0.899,0,NA,2448.949
1964-04-19,2.232,1.291,0,NA,2449.205
1964-04-20,2.298,0.774,0,NA,2449.355
1964-04-21,2.366,0.787,0,NA,2449.504
1964-04-22,2.437,0.83,0,NA,2449.659
1964-04-23,2.526,1.041,0,NA,2449.851
1964-04-24,2.628,1.183,0,NA,2450.065
1964-04-25,2.703,0.878,0,NA,2450.22
1964-04-26,2.787,0.976,0,NA,2450.391
1964-04-27,2.881,1.096,0,NA,2450.58
1964-04-28,2.952,0.826,0,NA,2450.72
1964-04-29,3.048,1.125,0,NA,2450.909
1964-04-30,3.148,1.217,0.057,NA,2451.101
1964-05-01,3.237,1.16,0.113,NA,2451.272
1964-05-02,3.312,0.985,0.113,NA,2451.412
1964-05-03,3.385,0.975,0.113,NA,2451.549
1964-05-04,3.463,0.992,0.085,NA,2451.692
1964-05-05,3.536,0.94,0.085,NA,2451.826
1964-05-06,3.603,0.87,0.085,NA,2451.948
1964-05-07,3.672,0.896,0.085,NA,2452.073
1964-05-08,3.732,0.785,0.085,NA,2452.18
1964-05-09,3.792,0.792,0.085,NA,2452.287
1964-05-10,3.858,0.86,0.085,NA,2452.403
1964-05-11,3.932,1.204,0.34,NA,2452.531
1964-05-12,4.024,2.041,0.963,NA,2452.689
1964-05-13,4.127,2.611,1.416,NA,2452.863
1964-05-14,4.337,3.858,1.416,NA,2453.213
1964-05-15,4.675,6.677,2.747,NA,2453.762
1964-05-16,5.168,10.554,4.842,NA,2454.53
1964-05-17,5.782,12.366,5.239,NA,2455.451
1964-05-18,6.641,15.248,5.295,NA,2456.673
1964-05-19,7.329,13.36,5.38,NA,2457.602
1964-05-20,8.119,14.709,5.55,NA,2458.623
1964-05-21,9.104,17.082,5.663,NA,2459.827
1964-05-22,9.849,14.299,5.663,NA,2460.681
1964-05-23,10.763,16.261,5.663,NA,2461.659
1964-05-24,11.781,17.47,5.663,NA,2462.686
1964-05-25,12.671,16.581,6.258,NA,2463.54
1964-05-26,13.431,15.894,7.079,NA,2464.235
1964-05-27,14.084,14.656,7.079,NA,2464.811
1964-05-28,14.384,10.577,7.079,NA,2465.07
1964-05-29,14.548,9.001,7.079,NA,2465.21
1964-05-30,14.483,6.36,7.079,NA,2465.155
1964-05-31,14.313,5.015,6.966,NA,2465.009
1964-06-01,14.076,3.945,6.654,NA,2464.805
1964-06-02,13.916,3.801,5.635,NA,2464.665
1964-06-03,13.847,4.46,5.239,NA,2464.604
1964-06-04,13.722,4.531,5.947,NA,2464.494
1964-06-05,13.729,6.051,5.947,NA,2464.5
1964-06-06,13.739,6.091,5.947,NA,2464.509
1964-06-07,13.833,7.051,5.947,NA,2464.591
1964-06-08,13.919,7.089,6.06,NA,2464.668
1964-06-09,13.822,4.904,6.003,NA,2464.582
1964-06-10,13.819,5.535,5.55,NA,2464.579
1964-06-11,13.847,5.896,5.55,NA,2464.604
1964-06-12,13.85,5.616,5.55,NA,2464.607
1964-06-13,13.815,5.175,5.55,NA,2464.576
1964-06-14,13.719,4.457,5.55,NA,2464.491
1964-06-15,13.619,4.251,5.38,NA,2464.402
1964-06-16,13.53,4.658,5.663,NA,2464.323
1964-06-17,13.38,3.954,5.663,NA,2464.189
1964-06-18,13.167,3.229,5.663,NA,2463.997
1964-06-19,12.944,2.934,5.493,NA,2463.793
1964-06-20,12.73,2.928,5.38,NA,2463.595
1964-06-21,12.509,2.846,5.38,NA,2463.388
1964-06-22,12.275,2.694,5.38,NA,2463.165
1964-06-23,12.016,2.204,5.182,NA,2462.915
1964-06-24,11.769,2.068,4.899,NA,2462.674
1964-06-25,11.519,2.032,4.899,NA,2462.427
1964-06-26,11.264,1.455,4.389,NA,2462.171
1964-06-27,11.047,1.626,4.106,NA,2461.952
1964-06-28,10.828,1.587,4.106,NA,2461.726
1964-06-29,10.608,1.414,3.936,NA,2461.498
1964-06-30,10.397,1.258,3.681,NA,2461.275
1964-07-01,10.211,1.556,3.681,NA,2461.077
1964-07-02,10.006,1.221,3.568,NA,2460.855
1964-07-03,9.811,1.153,3.398,NA,2460.638
1964-07-04,9.613,1.127,3.398,NA,2460.416
1964-07-05,9.412,1.103,3.398,NA,2460.187
1964-07-06,9.216,0.972,3.228,NA,2459.959
1964-07-07,9.032,0.898,3.002,NA,2459.742
1964-07-08,8.859,1.015,3.002,NA,2459.535
1964-07-09,8.685,1.011,3.002,NA,2459.325
1964-07-10,8.531,1.233,3.002,NA,2459.136
1964-07-11,8.405,1.563,3.002,NA,2458.98
1964-07-12,8.4,2.964,3.002,NA,2458.974
1964-07-13,8.319,2.14,3.058,NA,2458.873
1964-07-14,8.324,3.021,2.945,NA,2458.88
1964-07-15,8.412,3.903,2.86,NA,2458.989
1964-07-16,8.454,3.365,2.86,NA,2459.041
1964-07-17,8.484,3.166,2.803,NA,2459.078
1964-07-18,8.523,3.281,2.803,NA,2459.126
1964-07-19,8.511,2.679,2.803,NA,2459.111
1964-07-20,8.471,2.364,2.803,NA,2459.062
1964-07-21,8.405,2.08,2.832,NA,2458.98
1964-07-22,8.324,1.969,2.888,NA,2458.88
1964-07-23,8.263,2.114,2.803,NA,2458.803
1964-07-24,8.226,2.37,2.775,NA,2458.758
1964-07-25,8.209,2.596,2.775,NA,2458.736
1964-07-26,8.182,2.484,2.775,NA,2458.703
1964-07-27,8.124,2.063,2.718,NA,2458.63
1964-07-28,8.069,1.98,2.605,NA,2458.559
1964-07-29,8.004,1.871,2.605,NA,2458.477
1964-07-30,7.97,2.234,2.605,NA,2458.435
1964-07-31,7.891,1.71,2.605,NA,2458.334
1964-08-01,7.856,2.209,2.605,NA,2458.288
1964-08-02,7.951,3.726,2.605,NA,2458.41
1964-08-03,8.018,3.484,2.69,NA,2458.495
1964-08-04,8.025,2.932,2.832,NA,2458.505
1964-08-05,8.011,2.54,2.69,NA,2458.486
1964-08-06,7.975,2.007,2.407,NA,2458.441
1964-08-07,7.941,2.035,2.407,NA,2458.398
1964-08-08,7.932,2.312,2.407,NA,2458.386
1964-08-09,7.889,1.926,2.407,NA,2458.331
1964-08-10,7.882,2.255,2.322,NA,2458.322
1964-08-11,7.863,2.004,2.209,NA,2458.297
1964-08-12,7.884,2.076,1.812,NA,2458.325
1964-08-13,8.042,2.127,0.283,NA,2458.526
1964-08-14,8.494,5.525,0.283,NA,2459.09
1964-08-15,8.776,3.563,0.283,NA,2459.434
1964-08-16,8.991,2.796,0.283,NA,2459.693
1964-08-17,9.164,3.457,1.444,NA,2459.898
1964-08-18,9.187,2.155,1.869,NA,2459.925
1964-08-19,9.195,1.918,1.812,NA,2459.934
1964-08-20,9.195,1.828,1.812,NA,2459.934
1964-08-21,9.195,1.828,1.812,NA,2459.934
1964-08-22,9.161,1.437,1.812,NA,2459.894
1964-08-23,9.115,1.289,1.812,NA,2459.84
1964-08-24,9.061,1.23,1.841,NA,2459.776
1964-08-25,8.994,1.112,1.869,NA,2459.696
1964-08-26,8.92,1.027,1.869,NA,2459.608
1964-08-27,8.851,1.09,1.869,NA,2459.526
1964-08-28,8.776,1.007,1.869,NA,2459.434
1964-08-29,8.7,1.011,1.869,NA,2459.343
1964-08-30,8.615,0.9,1.869,NA,2459.239
1964-08-31,8.526,1.045,2.067,NA,2459.129
1964-09-01,8.412,1.105,2.407,NA,2458.989
1964-09-02,8.282,0.916,2.407,NA,2458.828
1964-09-03,8.148,0.872,2.407,NA,2458.66
1964-09-04,8.008,0.801,2.407,NA,2458.483
1964-09-05,7.875,0.87,2.407,NA,2458.313
1964-09-06,7.761,1.102,2.407,NA,2458.166
1964-09-07,7.631,0.922,2.407,NA,2457.999
1964-09-08,7.505,1.131,2.577,NA,2457.834
1964-09-09,7.35,0.877,2.662,NA,2457.63
1964-09-10,7.219,1.157,2.662,NA,2457.456
1964-09-11,7.08,1.066,2.662,NA,2457.27
1964-09-12,6.922,0.844,2.662,NA,2457.057
1964-09-13,6.763,0.833,2.662,NA,2456.84
1964-09-14,6.617,0.557,2.237,NA,2456.639
1964-09-15,6.588,1.237,1.557,NA,2456.6
1964-09-16,6.588,1.568,1.557,NA,2456.6
1964-09-17,6.584,1.517,1.557,NA,2456.594
1964-09-18,6.56,1.289,1.557,NA,2456.56
1964-09-19,6.529,1.213,1.557,NA,2456.517
1964-09-20,6.501,1.239,1.557,NA,2456.478
1964-09-21,6.483,1.309,1.501,NA,2456.453
1964-09-22,6.488,1.476,1.416,NA,2456.459
1964-09-23,6.509,1.678,1.416,NA,2456.49
1964-09-24,6.531,1.679,1.416,NA,2456.52
1964-09-25,6.549,1.628,1.416,NA,2456.545
1964-09-26,6.599,2.01,1.416,NA,2456.615
1964-09-27,6.65,2.012,1.416,NA,2456.685
1964-09-28,6.696,1.906,1.359,NA,2456.749
1964-09-29,6.73,1.725,1.331,NA,2456.795
1964-09-30,6.765,1.752,1.331,NA,2456.843
1964-10-01,6.765,1.34,1.331,NA,2456.843
1964-10-02,6.77,1.391,1.331,NA,2456.85
1964-10-03,6.759,1.211,1.331,NA,2456.834
1964-10-04,6.741,1.133,1.331,NA,2456.81
1964-10-05,6.716,0.802,1.076,NA,2456.776
1964-10-06,6.712,0.551,0.595,NA,2456.77
1964-10-07,6.725,0.728,0.566,NA,2456.789
1964-10-08,6.745,0.664,0.425,NA,2456.816
1964-10-09,6.772,0.742,0.425,NA,2456.853
1964-10-10,6.796,0.716,0.425,NA,2456.886
1964-10-11,6.817,0.665,0.425,NA,2456.914
1964-10-12,6.83,0.587,0.425,NA,2456.932
1964-10-13,6.846,0.613,0.425,NA,2456.953
1964-10-14,6.857,0.562,0.425,NA,2456.968
1964-10-15,6.87,0.587,0.425,NA,2456.987
1964-10-16,6.879,0.535,0.425,NA,2456.999
1964-10-17,6.888,0.535,0.425,NA,2457.011
1964-10-18,6.902,0.616,0.453,NA,2457.029
1964-10-19,6.902,0.545,0.538,NA,2457.029
1964-10-20,6.908,0.622,0.538,NA,2457.039
1964-10-21,6.906,0.518,0.538,NA,2457.035
1964-10-22,6.906,0.544,0.538,NA,2457.035
1964-10-23,6.902,0.492,0.538,NA,2457.029
1964-10-24,6.895,0.466,0.538,NA,2457.02
1964-10-25,6.891,0.492,0.538,NA,2457.014
1964-10-26,6.886,0.492,0.538,NA,2457.008
1964-10-27,6.875,0.413,0.538,NA,2456.993
1964-10-28,6.87,0.491,0.538,NA,2456.987
1964-10-29,6.864,0.465,0.538,NA,2456.978
1964-10-30,6.857,0.465,0.538,NA,2456.968
1964-10-31,6.848,0.439,0.538,NA,2456.956
1964-11-01,6.839,0.439,0.538,NA,2456.944
1964-11-02,6.83,0.439,0.538,NA,2456.932
1964-11-03,6.819,0.413,0.538,NA,2456.917
1964-11-04,6.805,0.387,0.538,NA,2456.898
1964-11-05,6.792,0.387,0.538,NA,2456.88
1964-11-06,6.779,0.388,0.538,NA,2456.862
1964-11-07,6.767,0.413,0.538,NA,2456.846
1964-11-08,6.754,0.388,0.538,NA,2456.828
1964-11-09,6.743,0.413,0.538,NA,2456.813
1964-11-10,6.732,0.413,0.538,NA,2456.798
1964-11-11,6.732,0.542,0.538,NA,2456.798
1964-11-12,6.719,0.387,0.538,NA,2456.779
1964-11-13,6.71,0.212,0.311,NA,2456.767
1964-11-14,6.71,0.287,0.283,NA,2456.767
1964-11-15,6.716,0.335,0.255,NA,2456.776
1964-11-16,6.739,0.515,0.255,NA,2456.807
1964-11-17,6.754,0.438,0.255,NA,2456.828
1964-11-18,6.774,0.49,0.255,NA,2456.856
1964-11-19,6.783,0.361,0.255,NA,2456.868
1964-11-20,6.788,0.31,0.255,NA,2456.874
1964-11-21,6.792,0.31,0.255,NA,2456.88
1964-11-22,6.799,0.336,0.255,NA,2456.889
1964-11-23,6.808,0.361,0.255,NA,2456.901
1964-11-24,6.814,0.336,0.255,NA,2456.911
1964-11-25,6.821,0.336,0.255,NA,2456.92
1964-11-26,6.828,0.336,0.255,NA,2456.929
1964-11-27,6.85,0.517,0.255,NA,2456.959
1964-11-28,6.859,0.362,0.255,NA,2456.971
1964-11-29,6.866,0.336,0.255,NA,2456.981
1964-11-30,6.875,0.362,0.255,NA,2456.993
1964-12-01,6.886,0.444,0.311,NA,2457.008
1964-12-02,6.895,0.673,0.566,NA,2457.02
1964-12-03,6.893,0.713,0.736,NA,2457.017
1964-12-04,6.855,0.552,0.991,NA,2456.965
1964-12-05,6.805,0.424,0.991,NA,2456.898
1964-12-06,6.759,0.452,0.991,NA,2456.834
1964-12-07,6.712,0.454,0.991,NA,2456.77
1964-12-08,6.665,0.456,0.991,NA,2456.706
1964-12-09,6.621,0.483,0.991,NA,2456.645
1964-12-10,6.573,0.264,0.821,NA,2456.578
1964-12-11,6.56,0.105,0.255,NA,2456.56
1964-12-12,6.564,0.308,0.255,NA,2456.566
1964-12-13,6.566,0.283,0.255,NA,2456.569
1964-12-14,6.569,0.283,0.255,NA,2456.572
1964-12-15,6.571,0.283,0.255,NA,2456.575
1964-12-16,6.573,0.283,0.255,NA,2456.578
1964-12-17,6.575,0.283,0.255,NA,2456.581
1964-12-18,6.575,0.257,0.255,NA,2456.581
1964-12-19,6.59,0.435,0.255,NA,2456.603
1964-12-20,6.595,0.308,0.255,NA,2456.609
1964-12-21,6.597,0.283,0.255,NA,2456.612
1964-12-22,6.599,0.283,0.255,NA,2456.615
1964-12-23,6.601,0.283,0.255,NA,2456.618
1964-12-24,6.606,0.308,0.255,NA,2456.624
1964-12-25,6.615,0.359,0.255,NA,2456.636
1964-12-26,6.615,0.257,0.255,NA,2456.636
1964-12-27,6.623,0.359,0.255,NA,2456.648
1964-12-28,6.652,0.589,0.255,NA,2456.688
1964-12-29,6.654,0.283,0.255,NA,2456.691
1964-12-30,6.657,0.283,0.255,NA,2456.694
1964-12-31,6.668,0.385,0.255,NA,2456.709
1965-01-01,6.688,0.488,0.255,NA,2456.737
1965-01-02,6.69,0.283,0.255,NA,2456.74
1965-01-03,6.694,0.308,0.255,NA,2456.746
1965-01-04,6.699,0.308,0.255,NA,2456.752
1965-01-05,6.703,0.309,0.255,NA,2456.758
1965-01-06,6.705,0.283,0.255,NA,2456.761
1965-01-07,6.736,0.617,0.255,NA,2456.804
1965-01-08,6.752,0.437,0.255,NA,2456.825
1965-01-09,6.754,0.283,0.255,NA,2456.828
1965-01-10,6.759,0.309,0.255,NA,2456.834
1965-01-11,6.761,0.283,0.255,NA,2456.837
1965-01-12,6.763,0.283,0.255,NA,2456.84
1965-01-13,6.765,0.283,0.255,NA,2456.843
1965-01-14,6.767,0.283,0.255,NA,2456.846
1965-01-15,6.77,0.283,0.255,NA,2456.85
1965-01-16,6.772,0.283,0.255,NA,2456.853
1965-01-17,6.774,0.283,0.255,NA,2456.856
1965-01-18,6.776,0.283,0.255,NA,2456.859
1965-01-19,6.781,0.309,0.255,NA,2456.865
1965-01-20,6.785,0.309,0.255,NA,2456.871
1965-01-21,6.792,0.335,0.255,NA,2456.88
1965-01-22,6.799,0.335,0.255,NA,2456.889
1965-01-23,6.801,0.283,0.255,NA,2456.892
1965-01-24,6.803,0.283,0.255,NA,2456.895
1965-01-25,6.819,0.438,0.255,NA,2456.917
1965-01-26,6.819,0.257,0.255,NA,2456.917
1965-01-27,6.823,0.309,0.255,NA,2456.923
1965-01-28,6.828,0.309,0.255,NA,2456.929
1965-01-29,6.83,0.283,0.255,NA,2456.932
1965-01-30,6.834,0.309,0.255,NA,2456.938
1965-01-31,6.841,0.335,0.255,NA,2456.947
1965-02-01,6.846,0.31,0.255,NA,2456.953
1965-02-02,6.848,0.283,0.255,NA,2456.956
1965-02-03,6.85,0.283,0.255,NA,2456.959
1965-02-04,6.85,0.258,0.255,NA,2456.959
1965-02-05,6.855,0.31,0.255,NA,2456.965
1965-02-06,6.861,0.336,0.255,NA,2456.975
1965-02-07,6.875,0.413,0.255,NA,2456.993
1965-02-08,6.891,0.44,0.255,NA,2457.014
1965-02-09,6.897,0.336,0.255,NA,2457.023
1965-02-10,6.913,0.44,0.255,NA,2457.045
1965-02-11,6.926,0.414,0.255,NA,2457.063
1965-02-12,6.929,0.284,0.255,NA,2457.066
1965-02-13,6.938,0.362,0.255,NA,2457.078
1965-02-14,6.942,0.31,0.255,NA,2457.084
1965-02-15,6.954,0.388,0.255,NA,2457.099
1965-02-16,6.956,0.284,0.255,NA,2457.103
1965-02-17,6.963,0.336,0.255,NA,2457.112
1965-02-18,6.965,0.284,0.255,NA,2457.115
1965-02-19,6.969,0.31,0.255,NA,2457.121
1965-02-20,6.976,0.337,0.255,NA,2457.13
1965-02-21,6.983,0.337,0.255,NA,2457.139
1965-02-22,6.987,0.311,0.255,NA,2457.145
1965-02-23,6.999,0.389,0.255,NA,2457.16
1965-02-24,7.003,0.311,0.255,NA,2457.167
1965-02-25,7.008,0.311,0.255,NA,2457.173
1965-02-26,7.014,0.338,0.255,NA,2457.182
1965-02-27,7.021,0.338,0.255,NA,2457.191
1965-02-28,7.033,0.39,0.255,NA,2457.206
1965-03-01,7.039,0.338,0.255,NA,2457.215
1965-03-02,7.053,0.417,0.255,NA,2457.234
1965-03-03,7.062,0.365,0.255,NA,2457.246
1965-03-04,7.069,0.339,0.255,NA,2457.255
1965-03-05,7.076,0.339,0.255,NA,2457.264
1965-03-06,7.08,0.313,0.255,NA,2457.27
1965-03-07,7.087,0.339,0.255,NA,2457.279
1965-03-08,7.094,0.339,0.255,NA,2457.288
1965-03-09,7.101,0.339,0.255,NA,2457.298
1965-03-10,7.107,0.34,0.255,NA,2457.307
1965-03-11,7.112,0.313,0.255,NA,2457.313
1965-03-12,7.123,0.392,0.255,NA,2457.328
1965-03-13,7.135,0.392,0.255,NA,2457.343
