date,storage,inflow,outflow,elevation,evaporation
1962-09-02,0.033,NA,NA,NA,NA
1962-09-03,0.033,NA,NA,NA,NA
1962-09-04,0.033,NA,NA,NA,NA
1962-09-05,0.033,NA,NA,NA,NA
1962-09-06,0.049,NA,NA,NA,NA
1962-09-07,0.16,NA,NA,NA,NA
1962-09-08,0.192,NA,NA,NA,NA
1962-09-09,0.745,NA,NA,NA,NA
1962-09-10,2.097,NA,NA,NA,NA
1962-09-11,1.789,NA,NA,NA,NA
1962-09-12,2.171,NA,NA,NA,NA
1962-09-13,2.122,NA,NA,NA,NA
1962-09-14,2.122,NA,NA,NA,NA
1962-09-15,2.06,NA,NA,NA,NA
1962-09-16,2.06,NA,NA,NA,NA
1962-09-17,2.06,NA,NA,NA,NA
1962-09-18,2.06,NA,NA,NA,NA
1962-09-19,2.097,NA,NA,NA,NA
1962-09-20,2.122,NA,NA,NA,NA
1962-09-21,2.122,NA,NA,NA,NA
1962-09-22,2.122,NA,NA,NA,NA
1962-09-23,2.097,NA,NA,NA,NA
1962-09-24,2.035,NA,NA,NA,NA
1962-09-25,2.035,NA,NA,NA,NA
1962-09-26,2.011,NA,NA,NA,NA
1962-09-27,2.011,NA,NA,NA,NA
1962-09-28,2.011,NA,NA,NA,NA
1962-09-29,1.998,NA,NA,NA,NA
1962-09-30,1.986,NA,NA,NA,NA
1962-10-01,1.986,NA,NA,NA,NA
1962-10-02,1.961,NA,NA,NA,NA
1962-10-03,1.961,NA,NA,NA,NA
1962-10-04,1.961,NA,NA,NA,NA
1962-10-05,1.961,NA,NA,NA,NA
1962-10-06,1.937,NA,NA,NA,NA
1962-10-07,1.937,0.793,NA,NA,NA
1962-10-08,1.937,65.978,NA,NA,NA
1962-10-09,1.998,93.53,NA,NA,NA
1962-10-10,7.586,1.416,NA,NA,NA
1962-10-11,15.172,0.566,NA,NA,NA
1962-10-12,14.555,0.283,NA,NA,NA
1962-10-13,14.308,0.17,NA,NA,NA
1962-10-14,13.568,0.142,NA,NA,NA
1962-10-15,13.075,0.113,NA,NA,NA
1962-10-16,12.828,4.389,NA,NA,NA
1962-10-17,12.458,0.566,NA,NA,NA
1962-10-18,12.458,0.283,NA,NA,NA
1962-10-19,12.051,0.17,NA,NA,NA
1962-10-20,11.681,0.142,NA,NA,NA
1962-10-21,11.237,0.113,NA,NA,NA
1962-10-22,10.978,0.085,NA,NA,NA
1962-10-23,10.361,0.057,NA,NA,NA
1962-10-24,10.016,0,NA,NA,NA
1962-10-25,9.485,0,NA,NA,NA
1962-10-26,8.943,0,NA,NA,NA
1962-10-27,8.573,0,NA,NA,NA
1962-10-28,8.24,0.991,NA,NA,NA
1962-10-29,8.03,0.142,NA,NA,NA
1962-10-30,7.722,0.113,NA,NA,NA
1962-10-31,7.426,0.085,NA,NA,NA
1962-11-01,7.154,0.028,2.803,NA,NA
1962-11-02,6.883,0.028,2.662,NA,NA
1962-11-03,6.636,0.028,2.549,NA,NA
1962-11-04,6.377,0.028,2.435,NA,NA
1962-11-05,6.167,0,2.322,NA,NA
1962-11-06,5.97,0,1.388,NA,NA
1962-11-07,5.834,0,0,NA,NA
1962-11-08,5.834,0.113,1.444,NA,NA
1962-11-09,5.723,0.34,2.039,NA,NA
1962-11-10,5.563,0.283,1.926,NA,NA
1962-11-11,5.415,0.227,1.756,NA,NA
1962-11-12,5.255,0.198,1.642,NA,NA
1962-11-13,5.131,0.17,1.529,NA,NA
1962-11-14,5.008,0.142,1.416,NA,NA
1962-11-15,4.897,0.057,1.303,NA,NA
1962-11-16,4.798,0,1.189,NA,NA
1962-11-17,4.687,0.142,1.076,NA,NA
1962-11-18,4.626,0.283,1.019,NA,NA
1962-11-19,4.539,0.595,0.963,NA,NA
1962-11-20,4.502,0.934,0.906,NA,NA
1962-11-21,4.502,0.51,0.906,NA,NA
1962-11-22,4.465,0.283,0.878,NA,NA
1962-11-23,4.416,0.425,0.85,NA,NA
1962-11-24,4.379,0.481,0.793,NA,NA
1962-11-25,4.342,0.425,0.793,NA,NA
1962-11-26,4.317,1.161,0.793,NA,NA
1962-11-27,4.342,4.446,0.934,NA,NA
1962-11-28,4.638,1.982,1.161,NA,NA
1962-11-29,4.712,0.765,1.133,NA,NA
1962-11-30,4.675,0.708,1.076,NA,NA
1962-12-01,4.638,0.878,1.048,NA,NA
1962-12-02,4.626,0.708,0.991,NA,NA
1962-12-03,4.601,0.651,0.934,NA,NA
1962-12-04,4.576,0.623,0.878,NA,NA
1962-12-05,4.539,0.595,0.85,NA,NA
1962-12-06,4.515,0.595,0.821,NA,NA
1962-12-07,4.478,0.566,0.793,NA,NA
1962-12-08,4.465,0.566,0.793,NA,NA
1962-12-09,4.441,0.566,0.765,NA,NA
1962-12-10,4.416,0.538,0.736,NA,NA
1962-12-11,4.391,0.538,0.736,NA,NA
1962-12-12,4.354,0.538,0.736,NA,NA
1962-12-13,4.33,0.51,0.708,NA,NA
1962-12-14,4.305,0.51,0.68,NA,NA
1962-12-15,4.293,0.51,0.68,NA,NA
1962-12-16,4.268,0.481,0.68,NA,NA
1962-12-17,4.268,0.481,0.651,NA,NA
1962-12-18,4.256,0.453,0.651,NA,NA
1962-12-19,4.243,0.425,0.623,NA,NA
1962-12-20,4.231,9.684,0.765,NA,NA
1962-12-21,4.996,12.771,1.954,NA,NA
1962-12-22,5.921,1.614,2.124,NA,NA
1962-12-23,5.871,1.189,2.067,NA,NA
1962-12-24,5.797,1.218,2.01,NA,NA
