date,storage,inflow,outflow,elevation,evaporation
1987-06-30,1.221,NA,0.057,167.945,NA
1987-07-01,1.221,NA,0.057,167.945,NA
1987-07-02,1.221,NA,0.057,167.945,NA
1987-07-03,1.221,NA,0.057,167.945,NA
1987-07-04,1.221,NA,0.057,167.945,NA
1987-07-05,1.221,NA,0.057,167.945,NA
1987-07-06,1.221,NA,0.057,167.945,NA
1987-07-07,1.221,NA,0.057,167.945,NA
1987-07-08,1.221,NA,0.057,167.945,NA
1987-07-09,1.221,NA,0.057,167.945,NA
1987-07-10,1.419,NA,0.057,168.25,NA
1987-07-11,1.641,NA,0.057,168.554,NA
1987-07-12,1.641,NA,0.057,168.554,NA
1987-07-13,1.641,NA,0.057,168.554,NA
1987-07-14,1.641,NA,0.057,168.554,NA
1987-07-15,1.641,NA,0.057,168.554,NA
1987-07-16,1.641,NA,0.057,168.554,NA
1987-07-17,1.641,NA,0.057,168.554,NA
1987-07-18,1.641,NA,0.057,168.554,NA
1987-07-19,1.884,NA,0.057,168.859,NA
1987-07-20,1.884,NA,0.057,168.859,NA
1987-07-21,1.884,NA,0.057,168.859,NA
1987-07-22,1.884,NA,0.057,168.859,NA
1987-07-23,1.884,NA,0.057,168.859,NA
1987-07-24,1.884,NA,0.057,168.859,NA
1987-07-25,1.884,NA,0.057,168.859,NA
1987-07-26,1.884,NA,0.057,168.859,NA
1987-07-27,2.162,NA,0.057,169.164,NA
1987-07-28,2.162,NA,0.057,169.164,NA
1987-07-29,2.485,NA,0.057,169.469,NA
1987-07-30,2.485,NA,0.057,169.469,NA
1987-07-31,2.485,NA,0.057,169.469,NA
1987-08-01,2.485,NA,0.057,169.469,NA
1987-08-02,2.485,NA,0.057,169.469,NA
1987-08-03,2.485,NA,0.057,169.469,NA
1987-08-04,2.485,NA,0.057,169.469,NA
1987-08-05,2.485,NA,0.057,169.469,NA
1987-08-06,2.485,NA,0.057,169.469,NA
1987-08-07,2.485,NA,0.057,169.469,NA
1987-08-08,2.485,NA,0.057,169.469,NA
1987-08-09,2.858,NA,0.057,169.774,NA
1987-08-10,2.858,NA,0.057,169.774,NA
1987-08-11,2.858,NA,0.057,169.774,NA
1987-08-12,2.858,NA,0.057,169.774,NA
1987-08-13,2.858,NA,0.057,169.774,NA
1987-08-14,2.858,NA,0.057,169.774,NA
1987-08-15,2.858,NA,0.057,169.774,NA
1987-08-16,2.858,NA,0.057,169.774,NA
1987-08-17,2.858,NA,0.057,169.774,NA
1987-08-18,2.858,NA,0.057,169.774,NA
1987-08-19,2.858,NA,0.057,169.774,NA
1987-08-20,2.858,NA,0.057,169.774,NA
1987-08-21,2.858,NA,0.057,169.774,NA
1987-08-22,2.858,NA,0.057,169.774,NA
1987-08-23,2.858,NA,0.057,169.774,NA
1987-08-24,2.858,NA,0.057,169.774,NA
1987-08-25,3.287,NA,0.057,170.078,NA
1987-08-26,3.287,NA,0.057,170.078,NA
1987-08-27,3.287,NA,0.057,170.078,NA
1987-08-28,3.287,NA,0.057,170.078,NA
1987-08-29,3.287,NA,0.057,170.078,NA
1987-08-30,3.287,NA,0.057,170.078,NA
1987-08-31,3.287,NA,0.057,170.078,NA
1987-09-01,3.287,NA,0.057,170.078,NA
1987-09-02,3.635,NA,0.057,170.301,NA
1987-09-03,16.368,NA,0.057,173.431,NA
1987-09-04,16.368,NA,0.057,173.431,NA
1987-09-05,16.368,NA,0.057,173.431,NA
1987-09-06,16.368,NA,0.057,173.431,NA
1987-09-07,16.368,NA,0.057,173.431,NA
1987-09-08,16.368,NA,0.057,173.431,NA
1987-09-09,16.368,NA,0.057,173.431,NA
1987-09-10,16.368,NA,0.057,173.431,NA
1987-09-11,16.368,NA,0.057,173.431,NA
1987-09-12,16.368,NA,0.057,173.431,NA
1987-09-13,16.368,NA,0.057,173.431,NA
1987-09-14,16.368,NA,0.057,173.431,NA
1987-09-15,16.368,NA,0.057,173.431,NA
1987-09-16,16.368,NA,0.057,173.431,NA
1987-09-17,16.368,NA,0.057,173.431,NA
1987-09-18,16.368,NA,0.057,173.431,NA
1987-09-19,16.368,NA,0.057,173.431,NA
1987-09-20,18.977,NA,0.057,173.736,NA
1987-09-21,18.977,NA,0.057,173.736,NA
1987-09-22,18.977,NA,0.057,173.736,NA
