date,storage,inflow,outflow,evaporation,elevation
1960-01-01,1.28,NA,NA,NA,2363.358
1960-01-02,NA,NA,NA,NA,NA
1960-01-03,NA,NA,NA,NA,NA
1960-01-04,NA,NA,NA,NA,NA
1960-01-05,NA,NA,NA,NA,NA
1960-01-06,NA,NA,NA,NA,NA
1960-01-07,NA,NA,NA,NA,NA
1960-01-08,NA,NA,NA,NA,NA
1960-01-09,NA,NA,NA,NA,NA
1960-01-10,NA,NA,NA,NA,NA
1960-01-11,NA,NA,NA,NA,NA
1960-01-12,NA,NA,NA,NA,NA
1960-01-13,NA,NA,NA,NA,NA
1960-01-14,NA,NA,NA,NA,NA
1960-01-15,NA,NA,NA,NA,NA
1960-01-16,NA,NA,NA,NA,NA
1960-01-17,NA,NA,NA,NA,NA
1960-01-18,NA,NA,NA,NA,NA
1960-01-19,NA,NA,NA,NA,NA
1960-01-20,NA,NA,NA,NA,NA
1960-01-21,NA,NA,NA,NA,NA
1960-01-22,NA,NA,NA,NA,NA
1960-01-23,NA,NA,NA,NA,NA
1960-01-24,NA,NA,NA,NA,NA
1960-01-25,NA,NA,NA,NA,NA
1960-01-26,NA,NA,NA,NA,NA
1960-01-27,NA,NA,NA,NA,NA
1960-01-28,NA,NA,NA,NA,NA
1960-01-29,NA,NA,NA,NA,NA
1960-01-30,NA,NA,NA,NA,NA
1960-01-31,NA,NA,NA,NA,NA
1960-02-01,1.287,NA,NA,NA,2363.389
1960-02-02,NA,NA,NA,NA,NA
1960-02-03,NA,NA,NA,NA,NA
1960-02-04,NA,NA,NA,NA,NA
1960-02-05,NA,NA,NA,NA,NA
1960-02-06,NA,NA,NA,NA,NA
1960-02-07,NA,NA,NA,NA,NA
1960-02-08,NA,NA,NA,NA,NA
1960-02-09,NA,NA,NA,NA,NA
1960-02-10,NA,NA,NA,NA,NA
1960-02-11,NA,NA,NA,NA,NA
1960-02-12,NA,NA,NA,NA,NA
1960-02-13,NA,NA,NA,NA,NA
1960-02-14,NA,NA,NA,NA,NA
1960-02-15,NA,NA,NA,NA,NA
1960-02-16,NA,NA,NA,NA,NA
1960-02-17,NA,NA,NA,NA,NA
1960-02-18,NA,NA,NA,NA,NA
1960-02-19,NA,NA,NA,NA,NA
1960-02-20,NA,NA,NA,NA,NA
1960-02-21,NA,NA,NA,NA,NA
1960-02-22,NA,NA,NA,NA,NA
1960-02-23,NA,NA,NA,NA,NA
1960-02-24,NA,NA,NA,NA,NA
1960-02-25,NA,NA,NA,NA,NA
1960-02-26,NA,NA,NA,NA,NA
1960-02-27,NA,NA,NA,NA,NA
1960-02-28,NA,NA,NA,NA,NA
1960-02-29,NA,NA,NA,NA,NA
1960-03-01,1.353,NA,NA,NA,2363.724
1960-03-02,NA,NA,NA,NA,NA
1960-03-03,NA,NA,NA,NA,NA
1960-03-04,NA,NA,NA,NA,NA
1960-03-05,NA,NA,NA,NA,NA
1960-03-06,NA,NA,NA,NA,NA
1960-03-07,NA,NA,NA,NA,NA
1960-03-08,NA,NA,NA,NA,NA
1960-03-09,NA,NA,NA,NA,NA
1960-03-10,NA,NA,NA,NA,NA
1960-03-11,NA,NA,NA,NA,NA
1960-03-12,NA,NA,NA,NA,NA
1960-03-13,NA,NA,NA,NA,NA
1960-03-14,NA,NA,NA,NA,NA
1960-03-15,NA,NA,NA,NA,NA
1960-03-16,NA,NA,NA,NA,NA
1960-03-17,NA,NA,NA,NA,NA
1960-03-18,NA,NA,NA,NA,NA
1960-03-19,NA,NA,NA,NA,NA
1960-03-20,NA,NA,NA,NA,NA
1960-03-21,NA,NA,NA,NA,NA
1960-03-22,NA,NA,NA,NA,NA
1960-03-23,NA,NA,NA,NA,NA
1960-03-24,NA,NA,NA,NA,NA
1960-03-25,NA,NA,NA,NA,NA
1960-03-26,NA,NA,NA,NA,NA
1960-03-27,NA,NA,NA,NA,NA
1960-03-28,NA,NA,NA,NA,NA
1960-03-29,NA,NA,NA,NA,NA
1960-03-30,NA,NA,NA,NA,NA
1960-03-31,NA,NA,NA,NA,NA
1960-04-01,2.32,NA,NA,NA,2367.625
1960-04-02,NA,NA,NA,NA,NA
1960-04-03,NA,NA,NA,NA,NA
1960-04-04,2.497,NA,NA,NA,2368.205
