date,storage,inflow,outflow,evaporation,elevation
1962-11-01,NA,NA,11.1,NA,NA
1962-11-02,NA,NA,3.2,NA,NA
1962-11-03,NA,NA,2.775,NA,NA
1962-11-04,NA,NA,3.256,NA,NA
1962-11-05,NA,NA,2.917,NA,NA
1962-11-06,NA,NA,2.407,NA,NA
1962-11-07,NA,NA,2.407,NA,NA
1962-11-08,NA,NA,2.52,NA,NA
1962-11-09,NA,NA,2.662,NA,NA
1962-11-10,NA,NA,2.718,NA,NA
1962-11-11,NA,NA,2.775,NA,NA
1962-11-12,NA,NA,2.152,NA,NA
1962-11-13,NA,NA,1.133,NA,NA
1962-11-14,NA,NA,1.133,NA,NA
1962-11-15,NA,NA,1.133,NA,NA
1962-11-16,NA,NA,1.671,NA,NA
1962-11-17,NA,NA,2.039,NA,NA
1962-11-18,NA,NA,2.039,NA,NA
1962-11-19,NA,NA,2.124,NA,NA
1962-11-20,NA,NA,2.209,NA,NA
1962-11-21,NA,NA,2.124,NA,NA
1962-11-22,NA,NA,2.124,NA,NA
1962-11-23,NA,NA,2.124,NA,NA
1962-11-24,NA,NA,2.18,NA,NA
1962-11-25,NA,NA,2.18,NA,NA
1962-11-26,NA,NA,2.18,NA,NA
1962-11-27,NA,NA,2.209,NA,NA
1962-11-28,NA,NA,2.322,NA,NA
1962-11-29,NA,NA,2.322,NA,NA
1962-11-30,NA,NA,2.322,NA,NA
1962-12-01,NA,NA,2.265,NA,NA
1962-12-02,0.247,NA,2.265,NA,NA
1962-12-03,1.48,17.135,2.265,NA,NA
1962-12-04,2.59,15.649,2.265,NA,NA
1962-12-05,3.7,15.649,2.265,NA,NA
1962-12-06,4.811,15.705,2.322,NA,NA
1962-12-07,6.044,17.247,2.379,NA,NA
1962-12-08,7.031,14.276,2.379,NA,NA
1962-12-09,8.141,15.761,2.379,NA,NA
1962-12-10,9.374,18.406,3.54,NA,NA
1962-12-11,10.361,15.777,3.879,NA,NA
1962-12-12,11.225,14.291,3.879,NA,NA
1962-12-13,12.211,15.776,3.879,NA,NA
1962-12-14,13.198,15.775,3.879,NA,NA
1962-12-15,14.185,15.775,3.879,NA,NA
1962-12-16,15.048,14.291,3.879,NA,NA
1962-12-17,16.035,20.957,9.061,NA,NA
1962-12-18,16.159,14.274,12.771,NA,NA
1962-12-19,16.405,15.758,12.771,NA,NA
1962-12-20,16.529,14.274,12.771,NA,NA
1962-12-21,16.775,15.759,12.771,NA,NA
1962-12-22,16.899,14.387,12.884,NA,NA
1962-12-23,16.899,12.902,12.884,NA,NA
1962-12-24,16.899,13.016,12.997,NA,NA
1962-12-25,17.022,14.5,12.997,NA,NA
1962-12-26,17.145,14.274,12.771,NA,NA
1962-12-27,17.269,14.161,12.658,NA,NA
1962-12-28,17.392,14.161,12.658,NA,NA
1962-12-29,16.899,6.737,12.658,NA,NA
1962-12-30,16.405,6.737,12.658,NA,NA
1962-12-31,16.035,8.221,12.658,NA,NA
1963-01-01,15.789,9.706,12.658,NA,NA
1963-01-02,15.542,8.064,11.015,NA,NA
1963-01-03,15.665,11.329,9.826,NA,NA
1963-01-04,15.789,11.329,9.826,NA,NA
1963-01-05,16.035,12.927,9.939,NA,NA
1963-01-06,16.405,14.412,9.939,NA,NA
1963-01-07,16.775,14.412,9.939,NA,NA
1963-01-08,17.022,13.04,10.052,NA,NA
1963-01-09,17.392,14.525,10.052,NA,NA
1963-01-10,17.639,13.239,10.251,NA,NA
1963-01-11,18.009,14.837,10.364,NA,NA
1963-01-12,18.132,11.867,10.364,NA,NA
1963-01-13,18.256,11.867,10.364,NA,NA
1963-01-14,18.379,11.754,10.251,NA,NA
1963-01-15,18.379,10.269,10.251,NA,NA
1963-01-16,18.379,10.269,10.251,NA,NA
1963-01-17,18.256,8.898,10.364,NA,NA
1963-01-18,18.132,8.898,10.364,NA,NA
1963-01-19,18.009,8.899,10.364,NA,NA
1963-01-20,17.885,8.899,10.364,NA,NA
1963-01-21,17.762,8.899,10.364,NA,NA
1963-01-22,17.639,8.899,10.364,NA,NA
1963-01-23,17.515,8.899,10.364,NA,NA
1963-01-24,17.515,10.383,10.364,NA,NA
1963-01-25,17.392,9.013,10.477,NA,NA
1963-01-26,17.269,9.013,10.477,NA,NA
1963-01-27,17.145,9.126,10.59,NA,NA
1963-01-28,17.145,10.724,10.704,NA,NA
1963-01-29,17.145,10.724,10.704,NA,NA
1963-01-30,17.145,10.726,10.704,NA,NA
1963-01-31,17.269,12.097,10.59,NA,NA
1963-02-01,17.269,10.612,10.59,NA,NA
1963-02-02,17.639,15.067,10.59,NA,NA
1963-02-03,18.009,15.067,10.59,NA,NA
1963-02-04,18.256,13.582,10.59,NA,NA
1963-02-05,18.872,17.924,10.477,NA,NA
1963-02-06,19.489,17.925,10.477,NA,NA
1963-02-07,20.106,17.925,10.477,NA,NA
1963-02-08,20.722,19.312,11.865,NA,NA
1963-02-09,21.463,23.006,14.073,NA,NA
1963-02-10,22.326,24.491,14.073,NA,NA
1963-02-11,23.066,23.121,14.187,NA,NA
1963-02-12,23.559,20.151,14.187,NA,NA
1963-02-13,24.176,21.75,14.3,NA,NA
1963-02-14,24.67,20.265,14.3,NA,NA
1963-02-15,25.286,21.523,14.073,NA,NA
1963-02-16,25.78,20.408,14.442,NA,NA
1963-02-17,26.273,20.408,14.442,NA,NA
1963-02-18,26.89,22.006,14.555,NA,NA
1963-02-19,27.26,19.037,14.555,NA,NA
1963-02-20,27.877,22.12,14.668,NA,NA
1963-02-21,28.37,20.636,14.668,NA,NA
1963-02-22,28.863,20.636,14.668,NA,NA
1963-02-23,29.48,22.235,14.781,NA,NA
1963-02-24,30.22,23.861,14.923,NA,NA
1963-02-25,30.837,22.377,14.923,NA,NA
1963-02-26,31.577,23.975,15.036,NA,NA
1963-02-27,32.317,24.09,15.149,NA,NA
1963-02-28,32.934,16.432,8.976,NA,NA
1963-03-01,34.537,23.128,3.794,NA,NA
1963-03-02,35.894,20.246,3.879,NA,NA
1963-03-03,37.374,21.872,4.021,NA,NA
1963-03-04,38.855,21.873,4.021,NA,NA
1963-03-05,39.841,15.708,3.794,NA,NA
1963-03-06,40.952,16.485,3.087,NA,NA
1963-03-07,42.678,23.599,2.775,NA,NA
1963-03-08,44.529,25.084,2.775,NA,NA
1963-03-09,46.009,20.574,2.718,NA,NA
1963-03-10,47.489,20.574,2.718,NA,NA
1963-03-11,48.969,20.518,2.662,NA,NA
1963-03-12,50.326,18.978,2.605,NA,NA
1963-03-13,51.683,18.979,2.605,NA,NA
1963-03-14,53.04,19.036,2.662,NA,NA
1963-03-15,54.52,20.521,2.662,NA,NA
1963-03-16,56,20.523,2.662,NA,NA
1963-03-17,57.48,20.523,2.662,NA,NA
1963-03-18,58.96,20.525,2.662,NA,NA
1963-03-19,60.441,20.582,2.718,NA,NA
1963-03-20,62.044,21.673,2.322,NA,NA
1963-03-21,63.648,22.126,2.775,NA,NA
1963-03-22,65.251,21.675,2.322,NA,NA
1963-03-23,67.225,26.529,2.718,NA,NA
