date,storage,inflow,outflow,evaporation,elevation
1965-11-02,1.48,NA,0,NA,NA
1965-11-03,1.48,NA,0.007,NA,NA
1965-11-04,1.48,NA,0.215,NA,NA
1965-11-05,1.48,NA,0.566,NA,NA
1965-11-06,2.615,NA,0.15,NA,NA
1965-11-07,1.9,NA,0.006,NA,NA
1965-11-08,1.9,NA,0.001,NA,NA
1965-11-09,2.023,NA,0.012,NA,NA
1965-11-10,2.072,NA,0.024,NA,NA
1965-11-11,2.109,NA,0.031,NA,NA
1965-11-12,2.109,NA,0.042,NA,NA
1965-11-13,2.109,NA,0.034,NA,NA
1965-11-14,2.109,NA,0.018,NA,NA
1965-11-15,2.072,NA,0.01,NA,NA
1965-11-16,2.072,NA,0.01,NA,NA
1965-11-17,2.023,NA,0.003,NA,NA
1965-11-18,2.023,NA,0.001,NA,NA
1965-11-19,1.974,NA,0.001,NA,NA
1965-11-20,1.974,NA,0,NA,NA
1965-11-21,1.974,NA,0,NA,NA
1965-11-22,1.949,NA,0,NA,NA
1965-11-23,1.924,NA,0,NA,NA
1965-11-24,1.924,NA,0,NA,NA
1965-11-25,1.912,NA,0,NA,NA
1965-11-26,1.9,NA,0.011,NA,NA
1965-11-27,1.9,NA,0.003,NA,NA
1965-11-28,1.863,NA,0.001,NA,NA
1965-11-29,1.863,NA,0.001,NA,NA
1965-11-30,1.863,NA,0,NA,NA
1965-12-01,1.863,NA,0,NA,NA
1965-12-02,1.863,NA,0.001,NA,NA
1965-12-03,1.863,NA,0.004,NA,NA
1965-12-04,1.961,NA,0.001,NA,NA
1965-12-05,1.974,NA,0,NA,NA
1965-12-06,1.974,NA,0,NA,NA
1965-12-07,2.011,NA,0,NA,NA
1965-12-08,2.023,NA,0,NA,NA
1965-12-09,2.023,NA,0,NA,NA
1965-12-10,2.023,NA,0,NA,NA
1965-12-11,2.011,NA,0,NA,NA
1965-12-12,2.011,NA,0,NA,NA
1965-12-13,1.998,NA,0,NA,NA
1965-12-14,1.998,NA,0,NA,NA
1965-12-15,1.998,NA,0.001,NA,NA
1965-12-16,2.035,NA,0.001,NA,NA
1965-12-17,2.06,NA,0.001,NA,NA
1965-12-18,2.072,NA,0.004,NA,NA
1965-12-19,2.22,NA,0.007,NA,NA
1965-12-20,2.331,NA,0.001,NA,NA
1965-12-21,2.356,NA,0.001,NA,NA
1965-12-22,2.344,NA,0,NA,NA
1965-12-23,2.344,NA,0,NA,NA
1965-12-24,2.331,NA,0.001,NA,NA
1965-12-25,2.418,NA,0,NA,NA
1965-12-26,2.331,NA,0,NA,NA
1965-12-27,2.344,NA,0,NA,NA
1965-12-28,2.319,NA,0,NA,NA
1965-12-29,2.307,NA,0,NA,NA
1965-12-30,2.307,NA,0,NA,NA
1965-12-31,2.307,NA,0,NA,NA
1966-01-01,2.307,NA,0,NA,NA
1966-01-02,2.307,NA,0.001,NA,NA
1966-01-03,2.553,NA,0,NA,NA
1966-01-04,2.603,NA,0,NA,NA
1966-01-05,2.64,NA,0,NA,NA
1966-01-06,2.664,NA,0,NA,NA
1966-01-07,2.689,NA,0.001,NA,NA
1966-01-08,2.701,NA,0.001,NA,NA
1966-01-09,2.726,NA,0.001,NA,NA
1966-01-10,2.738,NA,0.001,NA,NA
1966-01-11,2.751,NA,0.001,NA,NA
1966-01-12,2.763,NA,0.001,NA,NA
1966-01-13,2.763,NA,0.001,NA,NA
1966-01-14,2.788,NA,0.001,NA,NA
1966-01-15,2.788,NA,0.001,NA,NA
1966-01-16,2.8,NA,0.001,NA,NA
1966-01-17,2.812,NA,0.001,NA,NA
1966-01-18,2.812,NA,0.001,NA,NA
1966-01-19,2.825,NA,0.001,NA,NA
1966-01-20,2.849,NA,0.001,NA,NA
1966-01-21,2.886,NA,0,NA,NA
1966-01-22,2.886,NA,0,NA,NA
1966-01-23,2.899,NA,0,NA,NA
1966-01-24,2.899,NA,0,NA,NA
1966-01-25,2.911,NA,0,NA,NA
1966-01-26,2.936,NA,0,NA,NA
1966-01-27,2.936,NA,0,NA,NA
1966-01-28,2.948,NA,0.048,NA,NA
1966-01-29,2.948,NA,0.006,NA,NA
1966-01-30,2.96,NA,0,NA,NA
1966-01-31,2.96,NA,0,NA,NA
1966-02-01,2.997,NA,0,NA,NA
1966-02-02,3.022,NA,0,NA,NA
1966-02-03,3.034,NA,0,NA,NA
1966-02-04,3.034,NA,0,NA,NA
1966-02-05,3.034,NA,0,NA,NA
1966-02-06,3.047,NA,0,NA,NA
1966-02-07,3.059,NA,0,NA,NA
1966-02-08,3.071,NA,0,NA,NA
1966-02-09,3.096,NA,0.02,NA,NA
1966-02-10,3.158,NA,0.018,NA,NA
1966-02-11,3.947,NA,0.014,NA,NA
1966-02-12,4.194,NA,0.007,NA,NA
1966-02-13,4.293,NA,0.003,NA,NA
1966-02-14,4.305,NA,0.001,NA,NA
1966-02-15,4.404,NA,0.001,NA,NA
1966-02-16,4.441,NA,0.001,NA,NA
1966-02-17,4.49,NA,0,NA,NA
1966-02-18,4.515,NA,0,NA,NA
1966-02-19,4.527,NA,0,NA,NA
1966-02-20,4.564,NA,0,NA,NA
1966-02-21,4.601,NA,0,NA,NA
1966-02-22,4.626,NA,0,NA,NA
1966-02-23,4.663,NA,0.001,NA,NA
1966-02-24,4.687,NA,0,NA,NA
1966-02-25,4.737,NA,0,NA,NA
1966-02-26,4.761,NA,0.01,NA,NA
1966-02-27,4.786,NA,0.016,NA,NA
1966-02-28,4.934,NA,0.01,NA,NA
1966-03-01,5.008,NA,0.004,NA,NA
1966-03-02,5.07,NA,0.003,NA,NA
1966-03-03,5.131,NA,0.001,NA,NA
1966-03-04,5.218,NA,0.001,NA,NA
1966-03-05,5.255,NA,0,NA,NA
1966-03-06,5.304,NA,0,NA,NA
1966-03-07,5.292,NA,0,NA,NA
1966-03-08,5.329,NA,0,NA,NA
1966-03-09,5.341,NA,0,NA,NA
1966-03-10,5.39,NA,0,NA,NA
1966-03-11,5.415,NA,0,NA,NA
1966-03-12,5.44,NA,0.001,NA,NA
1966-03-13,5.489,NA,0,NA,NA
1966-03-14,5.6,NA,0,NA,NA
1966-03-15,5.637,NA,0,NA,NA
