date,storage,inflow,outflow,evaporation,elevation
1951-09-01,365.278,NA,1.416,NA,NA
1951-09-02,365.61,NA,1.416,NA,NA
1951-09-03,365.809,NA,1.416,NA,NA
1951-09-04,366.009,NA,1.416,NA,NA
1951-09-05,366.208,NA,1.416,NA,NA
1951-09-06,366.208,NA,3.653,NA,NA
1951-09-07,366.208,NA,4.389,NA,NA
1951-09-08,366.274,NA,1.416,NA,NA
1951-09-09,366.337,NA,1.416,NA,NA
1951-09-10,366.408,NA,1.501,NA,NA
1951-09-11,366.474,NA,1.416,NA,NA
1951-09-12,366.541,NA,1.416,NA,NA
1951-09-13,366.608,NA,1.444,NA,NA
1951-09-14,366.667,NA,1.416,NA,NA
1951-09-15,366.741,NA,1.416,NA,NA
1951-09-16,366.806,NA,1.416,NA,NA
1951-09-17,366.873,NA,1.416,NA,NA
1951-09-18,367.006,NA,1.416,NA,NA
1951-09-19,367.073,NA,1.388,NA,NA
1951-09-20,366.873,NA,8.467,NA,NA
1951-09-21,366.807,NA,9.175,NA,NA
1951-09-22,366.608,NA,8.467,NA,NA
1951-09-23,366.408,NA,9.175,NA,NA
1951-09-24,366.141,NA,7.532,NA,NA
1951-09-25,365.809,NA,9.996,NA,NA
1951-09-26,365.013,NA,9.939,NA,NA
1951-09-27,365.211,NA,9.939,NA,NA
1951-09-28,365.013,NA,7.617,NA,NA
1951-09-29,364.881,NA,9.939,NA,NA
1951-09-30,364.947,NA,1.388,NA,NA
1951-10-01,364.881,NA,7.277,NA,NA
1951-10-02,364.814,NA,7.447,NA,NA
1951-10-03,365.013,NA,1.388,NA,NA
1951-10-04,365.079,NA,1.388,NA,NA
1951-10-05,365.278,NA,1.388,NA,NA
1951-10-06,365.344,NA,1.388,NA,NA
1951-10-07,365.41,NA,1.388,NA,NA
1951-10-08,365.365,NA,1.388,NA,NA
1951-10-09,365.41,NA,6.06,NA,NA
1951-10-10,365.344,NA,4.502,NA,NA
1951-10-11,365.344,NA,1.388,NA,NA
1951-10-12,365.278,NA,6.06,NA,NA
1951-10-13,365.283,NA,1.388,NA,NA
1951-10-14,365.411,NA,1.388,NA,NA
1951-10-15,365.544,NA,4.446,NA,NA
1951-10-16,365.61,NA,1.388,NA,NA
1951-10-17,365.544,NA,6.088,NA,NA
1951-10-18,365.433,NA,6.201,NA,NA
1951-10-19,365.433,NA,1.388,NA,NA
1951-10-20,365.544,NA,1.388,NA,NA
1951-10-21,365.876,NA,1.388,NA,NA
1951-10-22,365.943,NA,1.388,NA,NA
1951-10-23,365.809,NA,4.531,NA,NA
1951-10-24,365.676,NA,5.352,NA,NA
1951-10-25,365.743,NA,1.388,NA,NA
1951-10-26,365.834,NA,1.416,NA,NA
1951-10-27,365.943,NA,1.416,NA,NA
1951-10-28,366.009,NA,1.416,NA,NA
1951-10-29,366.076,NA,1.416,NA,NA
1951-10-30,365.809,NA,7.079,NA,NA
1951-10-31,365.61,NA,7.079,NA,NA
1951-11-01,365.079,NA,11.808,NA,NA
1951-11-02,364.947,NA,6.088,NA,NA
1951-11-03,364.947,NA,1.416,NA,NA
1951-11-04,364.947,NA,1.416,NA,NA
1951-11-05,364.947,NA,1.501,NA,NA
1951-11-06,364.413,NA,16.367,NA,NA
1951-11-07,364.086,NA,10.137,NA,NA
1951-11-08,363.886,NA,6.739,NA,NA
1951-11-09,363.886,NA,2.067,NA,NA
1951-11-10,363.491,NA,12.403,NA,NA
1951-11-11,363.491,NA,1.501,NA,NA
1951-11-12,363.754,NA,1.699,NA,NA
1951-11-13,363.754,NA,2.662,NA,NA
1951-11-14,363.754,NA,2.832,NA,NA
