date,storage,inflow,outflow,evaporation,elevation
1963-03-11,NA,134.545,NA,NA,NA
1963-03-12,NA,132.529,NA,NA,NA
1963-03-13,NA,131.55,NA,NA,NA
1963-03-14,NA,134.459,36.812,NA,NA
1963-03-15,NA,133.94,35.679,NA,NA
1963-03-16,NA,135.726,34.546,NA,NA
1963-03-17,NA,134.459,35.679,NA,NA
1963-03-18,NA,128.325,34.263,NA,NA
1963-03-19,NA,130.11,30.582,NA,NA
1963-03-20,NA,123.775,29.733,NA,NA
1963-03-21,NA,129.016,30.016,NA,NA
1963-03-22,NA,127.461,30.016,NA,NA
1963-03-23,NA,125.618,29.733,NA,NA
1963-03-24,NA,125.848,29.733,NA,NA
1963-03-25,NA,143.703,30.016,NA,NA
1963-03-26,NA,176.475,29.733,NA,NA
1963-03-27,NA,211.494,29.733,NA,NA
1963-03-28,NA,227.506,29.449,NA,NA
1963-03-29,NA,235.252,29.733,NA,NA
1963-03-30,NA,256.016,29.166,NA,NA
1963-03-31,NA,275.887,29.449,NA,NA
1963-04-01,NA,294.222,29.166,NA,NA
1963-04-02,NA,317.124,29.166,NA,NA
1963-04-03,NA,314.969,29.166,NA,NA
1963-04-04,NA,306.077,29.166,NA,NA
1963-04-05,NA,283.714,29.449,NA,NA
1963-04-06,NA,260.274,28.883,NA,NA
1963-04-07,NA,233.438,28.883,NA,NA
1963-04-08,NA,220.963,29.166,NA,NA
1963-04-09,NA,209.054,28.883,NA,NA
1963-04-10,NA,212.961,28.883,NA,NA
1963-04-11,NA,226.298,28.034,NA,NA
1963-04-12,NA,228.75,28.034,NA,NA
1963-04-13,NA,224.978,28.6,NA,NA
1963-04-14,NA,206.845,28.883,NA,NA
1963-04-15,NA,191.002,28.883,NA,NA
1963-04-16,NA,217.434,28.6,NA,NA
1963-04-17,NA,252.191,27.75,NA,NA
1963-04-18,NA,290.45,28.034,NA,NA
1963-04-19,NA,286.948,28.6,NA,NA
1963-04-20,NA,247.341,28.6,NA,NA
1963-04-21,NA,216.086,28.6,NA,NA
1963-04-22,NA,193.454,28.883,NA,NA
1963-04-23,NA,172.169,28.6,NA,NA
1963-04-24,NA,160.852,28.883,NA,NA
1963-04-25,NA,152.5,28.883,NA,NA
1963-04-26,NA,139.298,29.166,NA,NA
1963-04-27,NA,130.945,28.883,NA,NA
1963-04-28,NA,122.862,28.883,NA,NA
1963-04-29,NA,126.041,29.166,NA,NA
