date,storage,inflow,outflow,elevation,evaporation
1959-07-01,58.16,9.741,0.255,2368.753,NA
1959-07-02,58.633,5.692,0.255,2368.875,NA
1959-07-03,59.232,7.136,0.255,2369.028,NA
1959-07-04,59.832,7.136,0.255,2369.18,NA
1959-07-05,60.317,5.833,0.255,2369.302,NA
1959-07-06,60.803,5.833,0.255,2369.424,NA
1959-07-07,61.046,3.03,0.255,2369.485,NA
1959-07-08,61.414,4.474,0.255,2369.576,NA
1959-07-09,61.784,4.502,0.255,2369.668,NA
1959-07-10,62.153,4.502,0.255,2369.759,NA
1959-07-11,62.275,1.642,0.255,2369.79,NA
1959-07-12,62.398,1.699,0.283,2369.82,NA
1959-07-13,62.647,3.171,0.311,2369.881,NA
1959-07-14,62.771,1.756,0.34,2369.911,NA
1959-07-15,63.144,5.04,0.736,2370.003,NA
1959-07-16,63.392,3.256,0.425,2370.064,NA
1959-07-17,63.517,1.756,0.311,2370.094,NA
1959-07-18,63.641,1.671,0.255,2370.125,NA
1959-07-19,63.767,1.671,0.227,2370.155,NA
1959-07-20,63.767,0.311,0.311,2370.155,NA
1959-07-21,63.517,2.124,4.984,2370.094,NA
1959-07-22,63.376,1.388,2.973,2370.061,NA
1959-07-23,63.48,1.416,0.255,2370.085,NA
1959-07-24,63.567,1.218,0.227,2370.107,NA
1959-07-25,63.617,1.784,1.218,2370.119,NA
1959-07-26,63.604,0.991,1.133,2370.116,NA
1959-07-27,63.617,1.218,1.076,2370.119,NA
1959-07-28,63.629,1.246,1.104,2370.122,NA
1959-07-29,63.692,1.841,1.104,2370.137,NA
1959-07-30,63.818,2.549,1.104,2370.167,NA
1959-07-31,64.373,6.513,0.142,2370.302,NA
1959-08-01,64.626,3.058,0.142,2370.363,NA
1959-08-02,64.903,4.134,0.963,2370.43,NA
1959-08-03,65.07,3.087,1.161,2370.469,NA
1959-08-04,65.325,4.106,1.189,2370.53,NA
1959-08-05,65.696,4.417,0.142,2370.619,NA
1959-08-06,66.004,3.625,0.113,2370.692,NA
1959-08-07,66.092,2.095,1.076,2370.713,NA
1959-08-08,66.312,3.681,1.161,2370.765,NA
1959-08-09,66.481,3.115,1.161,2370.805,NA
1959-08-10,66.571,2.18,1.161,2370.826,NA
1959-08-11,66.597,1.444,1.133,2370.832,NA
1959-08-12,66.623,1.303,1.019,2370.838,NA
1959-08-13,66.597,0.821,1.104,2370.832,NA
1959-08-14,66.559,0.566,1.019,2370.823,NA
1959-08-15,66.597,0.566,0.113,2370.832,NA
1959-08-16,66.649,0.708,0.113,2370.844,NA
1959-08-17,66.623,0.793,1.104,2370.838,NA
1959-08-18,66.597,0.765,1.048,2370.832,NA
1959-08-19,66.545,0.51,1.104,2370.82,NA
1959-08-20,66.377,0.595,2.52,2370.78,NA
1959-08-21,66.182,1.727,3.964,2370.734,NA
1959-08-22,66.222,0.595,0.142,2370.744,NA
1959-08-23,66.274,0.736,0.142,2370.756,NA
1959-08-24,65.99,0.765,4.021,2370.689,NA
1959-08-25,65.696,0.68,4.049,2370.619,NA
1959-08-26,65.441,1.218,4.163,2370.558,NA
1959-08-27,65.096,0.283,4.248,2370.475,NA
1959-08-28,64.879,0.85,3.341,2370.424,NA
1959-08-29,64.626,0.425,3.341,2370.363,NA
1959-08-30,64.361,0.396,3.426,2370.299,NA
1959-08-31,64.146,0.963,3.426,2370.247,NA
1959-09-01,63.894,0.538,3.426,2370.186,NA
1959-09-02,63.641,0.623,3.511,2370.125,NA
1959-09-03,63.38,0.538,3.54,2370.061,NA
1959-09-04,63.144,0.595,3.568,2369.997,NA
1959-09-05,62.932,0.028,2.18,2369.951,NA
1959-09-06,62.771,0.34,2.209,2369.911,NA
1959-09-07,62.635,0.651,2.209,2369.878,NA
1959-09-08,62.486,0.481,2.18,2369.841,NA
1959-09-09,62.299,0,2.152,2369.796,NA
1959-09-10,62.225,1.274,2.124,2369.777,NA
1959-09-11,62.079,0.481,2.152,2369.741,NA
1959-09-12,61.98,0.68,1.812,2369.716,NA
1959-09-13,61.844,0.255,1.812,2369.683,NA
1959-09-14,61.71,0.227,1.784,2369.649,NA
1959-09-15,61.685,1.557,1.841,2369.643,NA
1959-09-16,61.5,0.623,2.747,2369.597,NA
1959-09-17,61.389,0.481,1.756,2369.57,NA
1959-09-18,61.292,0.623,1.727,2369.546,NA
1959-09-19,61.255,1.359,1.784,2369.537,NA
1959-09-20,61.144,0.453,1.727,2369.439,NA
1959-09-21,61.096,1.133,1.699,2369.497,NA
1959-09-22,60.95,0.028,1.699,2369.46,NA
1959-09-23,60.865,0.736,1.699,2369.439,NA
1959-09-24,60.925,2.35,1.671,2369.454,NA
1959-09-25,61.01,2.633,1.642,2369.476,NA
1959-09-26,61.12,2.86,1.614,2369.503,NA
1959-09-27,61.205,2.577,1.586,2369.524,NA
1959-09-28,61.451,4.474,1.671,2369.585,NA
1959-09-29,61.574,1.472,0.057,2369.616,NA
1959-09-30,61.623,2.152,1.586,2369.628,NA
1959-10-01,61.673,2.152,1.586,2369.64,NA
1959-10-02,61.784,2.86,1.586,2369.668,NA
1959-10-03,61.795,1.699,1.557,2369.671,NA
1959-10-04,61.869,2.407,1.557,2369.689,NA
1959-10-05,61.931,2.265,1.557,2369.704,NA
1959-10-06,62.016,2.492,1.529,2369.726,NA
1959-10-07,62.177,1.897,0.028,2369.771,NA
1959-10-08,62.447,3.087,0,2369.832,NA
1959-10-09,62.621,2.039,0.028,2369.875,NA
1959-10-10,62.87,2.86,0,2369.936,NA
1959-10-11,63.032,1.869,0.028,2369.975,NA
1959-10-12,62.92,2.69,3.964,2369.948,NA
1959-10-13,62.771,2.18,3.908,2369.911,NA
1959-10-14,62.584,1.926,4.049,2369.866,NA
1959-10-15,62.46,2.69,4.134,2369.835,NA
1959-10-16,62.25,1.784,4.191,2369.783,NA
1959-10-17,62.447,2.322,0.057,2369.832,NA
1959-10-18,62.597,1.784,0.057,2369.869,NA
1959-10-19,62.423,2.152,4.163,2369.826,NA
1959-10-20,62.25,2.294,4.276,2369.783,NA
1959-10-21,62.005,1.359,4.163,2369.713,NA
1959-10-22,61.71,1.104,4.502,2369.649,NA
1959-10-23,61.611,3.058,4.191,2369.625,NA
1959-10-24,61.894,3.341,0.085,2369.695,NA
1959-10-25,62.066,2.067,0.085,2369.738,NA
1959-10-26,61.906,2.379,4.219,2369.698,NA
1959-10-27,61.759,2.52,4.219,2369.662,NA
1959-10-28,61.648,2.945,4.219,2369.634,NA
1959-10-29,61.537,2.86,4.134,2369.607,NA
1959-10-30,61.353,2.124,4.248,2369.561,NA
1959-10-31,61.586,2.775,0.085,2369.619,NA
1959-11-01,61.784,2.35,0.085,2369.668,NA
1959-11-02,61.562,1.557,4.106,2369.613,NA
1959-11-03,61.353,1.727,4.106,2369.561,NA
1959-11-04,61.168,1.954,4.078,2369.515,NA
1959-11-05,60.973,1.841,4.078,2369.466,NA
1959-11-06,60.755,1.529,4.049,2369.412,NA
1959-11-07,60.938,2.18,0.085,2369.457,NA
1959-11-08,61.083,1.756,0.085,2369.494,NA
1959-11-09,60.925,2.237,4.049,2369.454,NA
1959-11-10,60.706,1.529,4.049,2369.399,NA
1959-11-11,60.876,2.18,0.227,2369.442,NA
1959-11-12,60.67,1.699,4.049,2369.39,NA
1959-11-13,60.475,1.699,3.936,2369.341,NA
