date,storage,inflow,outflow,evaporation,elevation
1984-03-20,1.795,14.158,0.028,NA,2041.55
1984-03-21,3.173,15.985,0.028,NA,2043.532
1984-03-22,6.392,37.308,0.028,NA,2046.732
1984-03-23,8.422,23.517,0,NA,2048.195
1984-03-24,10.313,21.937,0.028,NA,2049.384
1984-03-25,12.433,24.567,0,NA,2050.633
1984-03-26,14.231,20.857,0.028,NA,2051.639
1984-03-27,15.871,19.016,0,NA,2052.523
1984-03-28,17.034,13.522,0.028,NA,2053.133
1984-03-29,18.183,NA,NA,NA,2053.681
1984-03-30,19.19,11.695,0,NA,2054.23
1984-03-31,20.359,NA,NA,NA,2054.763
1984-04-01,21.384,11.922,0.028,NA,2055.297
1984-04-02,22.436,NA,NA,NA,2055.754
1984-04-03,23.371,10.891,0.028,NA,2056.211
1984-04-04,24.396,NA,NA,NA,2056.623
1984-04-05,25.248,9.935,0.028,NA,2057.034
1984-04-06,26.813,NA,NA,NA,2057.659
1984-04-07,28.266,16.901,0.028,NA,2058.284
1984-04-08,31.388,NA,NA,NA,2059.457
1984-04-09,34.515,36.276,0.028,NA,2060.631
1984-04-10,34.343,28.299,30.242,NA,2060.57
1984-04-11,34.172,39.854,41.767,NA,2060.509
1984-04-12,33.321,28.43,38.228,NA,2060.204
1984-04-13,34.343,45.179,33.301,NA,2060.57
1984-04-14,35.554,45.509,31.432,NA,2060.997
1984-04-15,36.078,50.556,44.429,NA,2061.18
1984-04-16,37.049,65.777,54.482,NA,2061.515
1984-04-17,37.049,76.941,76.88,NA,2061.515
1984-04-18,36.518,82.158,88.235,NA,2061.332
1984-04-19,37.761,92.14,77.701,NA,2061.759
1984-04-20,35.729,64.87,88.32,NA,2061.058
1984-04-21,35.729,63.295,63.231,NA,2061.058
1984-04-22,35.294,56.586,61.561,NA,2060.905
1984-04-23,34.773,48.154,54.113,NA,2060.722
1984-04-24,35.554,52.966,43.863,NA,2060.997
1984-04-25,38.119,72.208,42.447,NA,2061.881
1984-04-26,37.941,66.921,68.923,NA,2061.82
1984-04-27,36.784,50.9,64.223,NA,2061.423
1984-04-28,36.254,38.43,44.486,NA,2061.24
1984-04-29,36.871,33.628,26.42,NA,2061.454
1984-04-30,37.493,33.459,26.193,NA,2061.667
1984-05-01,38.21,34.984,26.618,NA,2061.911
1984-05-02,38.3,34.387,33.272,NA,2061.942
1984-05-03,38.57,36.476,33.272,NA,2062.033
1984-05-04,39.205,40.702,33.272,NA,2062.246
1984-05-05,40.675,56.456,39.36,NA,2062.734
1984-05-06,40.49,64.709,66.771,NA,2062.673
1984-05-07,39.296,65.18,78.919,NA,2062.277
1984-05-08,39.114,66.466,68.498,NA,2062.216
1984-05-09,39.57,78.138,67.252,NA,2062.368
1984-05-10,40.583,93.271,75.04,NA,2062.704
1984-05-11,41.234,104.889,90.585,NA,2062.917
1984-05-12,43.507,126.387,91.18,NA,2063.648
1984-05-13,47.047,145.523,92.568,NA,2064.746
1984-05-14,50.021,141.356,94.861,NA,2065.63
1984-05-15,54.765,157.659,94.578,NA,2066.971
1984-05-16,61.498,185.41,90.557,NA,2068.739
1984-05-17,66.831,179.112,99.817,NA,2070.049
1984-05-18,69.796,153.317,101.204,NA,2070.75
1984-05-19,71.242,135.928,101.714,NA,2071.086
1984-05-20,71.904,126.389,102.337,NA,2071.238
1984-05-21,74.048,143.904,102.478,NA,2071.726
1984-05-22,77.327,156.586,103.158,NA,2072.457
1984-05-23,79.978,151.168,104.178,NA,2073.036
1984-05-24,83.977,166.178,102.733,NA,2073.89
1984-05-25,87.496,164.683,106.16,NA,2074.621
1984-05-26,90.199,150.971,102.705,NA,2075.17
1984-05-27,91.266,137.493,108.17,NA,2075.383
1984-05-28,91.113,123.12,108.312,NA,2075.353
1984-05-29,90.048,112.557,107.915,NA,2075.139
1984-05-30,87.496,89.749,102.535,NA,2074.621
1984-05-31,87.198,116.413,103.101,NA,2074.56
1984-06-01,84.702,86.167,98.316,NA,2074.042
1984-06-02,83.831,101.019,94.04,NA,2073.859
1984-06-03,82.105,87.361,90.585,NA,2073.493
1984-06-04,80.543,76.221,77.758,NA,2073.158
1984-06-05,79.837,66.832,57.172,NA,2073.006
1984-06-06,81.109,78.674,46.355,NA,2073.28
