date,storage,inflow,outflow,evaporation,elevation
1951-09-01,183.791,11.521,NA,NA,NA
1951-09-02,184.138,10.793,NA,NA,NA
1951-09-03,184.187,11.15,NA,NA,NA
1951-09-04,184.088,10.336,NA,NA,NA
1951-09-05,183.916,9.494,NA,NA,NA
1951-09-06,183.916,12.021,NA,NA,NA
1951-09-07,183.494,7.638,NA,NA,NA
1951-09-08,182.82,4.982,NA,NA,NA
1951-09-09,182.643,10.607,NA,NA,NA
1951-09-10,182.263,7.352,NA,NA,NA
1951-09-11,181.806,7.938,NA,NA,NA
1951-09-12,181.248,7.923,NA,NA,NA
1951-09-13,180.765,7.995,NA,NA,NA
1951-09-14,180.209,9.551,NA,NA,NA
1951-09-15,179.807,7.438,NA,NA,NA
1951-09-16,179.304,6.31,NA,NA,NA
1951-09-17,178.575,6.51,NA,NA,NA
1951-09-18,177.796,5.454,NA,NA,NA
1951-09-19,177.173,7.823,NA,NA,NA
1951-09-20,176.55,7.823,NA,NA,NA
1951-09-21,175.877,6.938,NA,NA,NA
1951-09-22,175.677,8.594,NA,NA,NA
1951-09-23,175.428,8.195,NA,NA,NA
1951-09-24,175.033,6.795,NA,NA,NA
1951-09-25,174.785,8.823,NA,NA,NA
1951-09-26,174.045,6.367,NA,NA,NA
1951-09-27,173.452,4.882,NA,NA,NA
1951-09-28,173.107,8.58,NA,NA,NA
1951-09-29,172.714,6.653,NA,NA,NA
1951-09-30,172.74,8.965,NA,NA,NA
1951-10-01,172.569,8.009,NA,NA,NA
1951-10-02,172.447,9.151,NA,NA,NA
1951-10-03,171.982,9.865,NA,NA,NA
1951-10-04,171.565,8.423,NA,NA,NA
1951-10-05,171.052,10.279,NA,NA,NA
1951-10-06,171.37,7.695,NA,NA,NA
1951-10-07,171.589,6.296,NA,NA,NA
1951-10-08,171.124,7.923,NA,NA,NA
1951-10-09,170.88,5.882,NA,NA,NA
1951-10-10,170.953,9.494,NA,NA,NA
1951-10-11,170.905,9.965,NA,NA,NA
1951-10-12,170.587,7.852,NA,NA,NA
1951-10-13,170.221,7.11,NA,NA,NA
1951-10-14,170.489,5.853,NA,NA,NA
1951-10-15,169.907,6.396,NA,NA,NA
1951-10-16,169.251,7.681,NA,NA,NA
1951-10-17,168.741,7.438,NA,NA,NA
1951-10-18,168.039,3.169,NA,NA,NA
1951-10-19,167.63,7.067,NA,NA,NA
1951-10-20,167.751,6.881,NA,NA,NA
1951-10-21,168.232,8.78,NA,NA,NA
1951-10-22,167.703,6.439,NA,NA,NA
1951-10-23,167.51,9.736,NA,NA,NA
1951-10-24,167.389,9.308,NA,NA,NA
